time,RSI
2025-10-21 18:30,50.9294
2025-10-21 18:25,50.8661
2025-10-21 18:20,50.8134
2025-10-21 18:15,50.8081
2025-10-21 18:10,50.6709
2025-10-21 18:05,50.8888
2025-10-21 18:00,50.8888
2025-10-21 17:55,50.7199
2025-10-21 17:50,50.4649
2025-10-21 17:45,50.9418
2025-10-21 17:40,52.4954
2025-10-21 17:35,52.4732
2025-10-21 17:30,52.5386
2025-10-21 17:25,52.4805
2025-10-21 17:20,52.4805
2025-10-21 17:15,52.6205
2025-10-21 17:10,52.6790
2025-10-21 17:05,52.6738
2025-10-21 17:00,52.6371
2025-10-21 16:55,52.6837
2025-10-21 16:50,52.5842
2025-10-21 16:45,52.5265
2025-10-21 16:40,52.5213
2025-10-21 16:35,52.5328
2025-10-21 16:30,52.5473
2025-10-21 16:25,52.5963
2025-10-21 16:20,52.5992
2025-10-21 16:15,52.7754
2025-10-21 16:10,52.6352
2025-10-21 16:05,52.6371
2025-10-21 16:00,52.7913
2025-10-21 15:55,52.9072
2025-10-21 15:50,52.9943
2025-10-21 15:45,52.9489
2025-10-21 15:40,52.8912
2025-10-21 15:35,52.9352
2025-10-21 15:30,53.0534
2025-10-21 15:25,53.0124
2025-10-21 15:20,53.1457
2025-10-21 15:15,53.2388
2025-10-21 15:10,53.2853
2025-10-21 15:05,53.2700
2025-10-21 15:00,53.3222
2025-10-21 14:55,53.2714
2025-10-21 14:50,53.2308
2025-10-21 14:45,53.1341
2025-10-21 14:40,53.1486
2025-10-21 14:35,53.1601
2025-10-21 14:30,53.1630
2025-10-21 14:25,53.0972
2025-10-21 14:20,52.9347
2025-10-21 14:15,52.9805
2025-10-21 14:10,52.9500
2025-10-21 14:05,52.8813
2025-10-21 14:00,52.9642
2025-10-21 13:55,52.8424
2025-10-21 13:50,52.8936
2025-10-21 13:45,52.9364
2025-10-21 13:40,52.7698
2025-10-21 13:35,52.9494
2025-10-21 13:30,52.6755
2025-10-21 13:25,52.7172
2025-10-21 13:20,52.5052
2025-10-21 13:15,52.9787
2025-10-21 13:10,53.0018
2025-10-21 13:05,52.8322
2025-10-21 13:00,53.0871
2025-10-21 12:55,53.4143
2025-10-21 12:50,53.5437
2025-10-21 12:45,53.6026
2025-10-21 12:40,53.4807
2025-10-21 12:35,53.5152
2025-10-21 12:30,53.5681
2025-10-21 12:25,53.6467
2025-10-21 12:20,53.3793
2025-10-21 12:15,53.1733
2025-10-21 12:10,53.2849
2025-10-21 12:05,53.3025
2025-10-21 12:00,53.2820
2025-10-21 11:55,53.2820
2025-10-21 11:50,53.2563
2025-10-21 11:45,53.1512
2025-10-21 11:40,53.0431
2025-10-21 11:35,53.1217
2025-10-21 11:30,53.0858
2025-10-21 11:25,53.0781
2025-10-21 11:20,53.1216
2025-10-21 11:15,53.2042
2025-10-21 11:10,53.0802
2025-10-21 11:05,52.8591
2025-10-21 11:00,52.7351
2025-10-21 10:55,52.8102
2025-10-21 10:50,52.6653
2025-10-21 10:45,52.7172
2025-10-21 10:40,52.9488
2025-10-21 10:35,52.7728
2025-10-21 10:30,53.0349
2025-10-21 10:25,53.2284
2025-10-21 10:20,53.0731
2025-10-21 10:15,53.1494
2025-10-21 10:10,52.7845
2025-10-21 10:05,52.6032
2025-10-21 10:00,52.6087
2025-10-21 09:55,52.3787
2025-10-21 09:50,52.0343
2025-10-21 09:45,52.3182
2025-10-21 09:40,51.8422
2025-10-21 09:35,52.0218
2025-10-21 09:30,51.3461
2025-10-21 09:25,51.1499
2025-10-21 09:20,51.1274
2025-10-21 09:15,51.1050
2025-10-21 09:10,51.2106
2025-10-21 09:05,51.2282
2025-10-21 09:00,51.0883
2025-10-21 08:55,51.2380
2025-10-21 08:50,51.2296
2025-10-21 08:45,51.3752
2025-10-21 08:40,50.8956
2025-10-21 08:35,50.9280
2025-10-21 08:30,51.0221
2025-10-21 08:25,51.0456
2025-10-21 08:20,50.9185
2025-10-21 08:15,50.9332
2025-10-21 08:10,50.8937
2025-10-21 08:05,50.8259
2025-10-21 08:00,50.7920
2025-10-21 07:55,50.7638
2025-10-21 07:50,50.7987
2025-10-21 07:45,50.7311
2025-10-21 07:40,50.6522
2025-10-21 07:35,50.6128
2025-10-21 07:30,50.6474
2025-10-21 07:25,50.6474
2025-10-21 07:20,50.6820
2025-10-21 07:15,50.7050
2025-10-21 07:10,50.6547
2025-10-21 07:05,50.7696
2025-10-21 07:00,50.7984
2025-10-21 06:55,50.7650
2025-10-21 06:50,50.7372
2025-10-21 06:45,50.7372
2025-10-21 06:40,50.7543
2025-10-21 06:35,50.7488
2025-10-21 06:30,50.6935
2025-10-21 06:25,50.6714
2025-10-21 06:20,50.6997
2025-10-21 06:15,50.6887
2025-10-21 06:10,50.7226
2025-10-21 06:05,50.7117
2025-10-21 06:00,50.7455
2025-10-21 05:55,50.7236
2025-10-21 05:50,50.7405
2025-10-21 05:45,50.7078
2025-10-21 05:40,50.7078
2025-10-21 05:35,50.6697
2025-10-21 05:30,50.6588
2025-10-21 05:25,50.5828
2025-10-21 05:20,50.6328
2025-10-21 05:15,50.6718
2025-10-21 05:10,50.5416
2025-10-21 05:05,50.4927
2025-10-21 05:00,50.4547
2025-10-21 04:55,50.4384
2025-10-21 04:50,50.5323
2025-10-21 04:45,50.4620
2025-10-21 04:40,50.5337
2025-10-21 04:35,50.5067
2025-10-21 04:30,50.4040
2025-10-21 04:25,50.4040
2025-10-21 04:20,50.4259
2025-10-21 04:15,50.5357
2025-10-21 04:10,50.5303
2025-10-21 04:05,50.5035
2025-10-21 04:00,50.3260
2025-10-20 19:55,50.4135
2025-10-20 19:50,50.4081
2025-10-20 19:45,50.4027
2025-10-20 19:40,50.4463
2025-10-20 19:35,50.4303
2025-10-20 19:30,50.3822
2025-10-20 19:25,50.3769
2025-10-20 19:20,50.3395
2025-10-20 19:15,50.3990
2025-10-20 19:10,50.3458
2025-10-20 19:05,50.3781
2025-10-20 19:00,50.3144
2025-10-20 18:55,50.3386
2025-10-20 18:50,50.3784
2025-10-20 18:45,50.3471
2025-10-20 18:40,50.3075
2025-10-20 18:35,50.3369
2025-10-20 18:30,50.3476
2025-10-20 18:25,50.3160
2025-10-20 18:20,50.3002
2025-10-20 18:15,50.2661
2025-10-20 18:10,50.2847
2025-10-20 18:05,50.2847
2025-10-20 18:00,50.2841
2025-10-20 17:55,50.3269
2025-10-20 17:50,50.3269
2025-10-20 17:45,50.2762
2025-10-20 17:40,50.3327
2025-10-20 17:35,50.3275
2025-10-20 17:30,50.3120
2025-10-20 17:25,50.2758
2025-10-20 17:20,50.3124
2025-10-20 17:15,50.3228
2025-10-20 17:10,50.3385
2025-10-20 17:05,50.3645
2025-10-20 17:00,50.3235
2025-10-20 16:55,50.2311
2025-10-20 16:50,50.2596
