time,SlowD,SlowK
2025-09-15 13:35,45.4580,74.1836
2025-09-15 13:30,26.7688,43.7997
2025-09-15 13:25,19.0850,18.3907
2025-09-15 13:20,18.8905,18.1162
2025-09-15 13:15,16.3491,20.7483
2025-09-15 13:10,13.0181,17.8071
2025-09-15 13:05,13.0088,10.4919
2025-09-15 13:00,14.9888,10.7554
2025-09-15 12:55,15.8723,17.7792
2025-09-15 12:50,14.8710,16.4319
2025-09-15 12:45,12.6504,13.4057
2025-09-15 12:40,11.4263,14.7752
2025-09-15 12:35,13.2750,9.7702
2025-09-15 12:30,25.1088,9.7333
2025-09-15 12:25,43.9038,20.3215
2025-09-15 12:20,62.7734,45.2715
2025-09-15 12:15,70.2373,66.1183
2025-09-15 12:10,66.4266,76.9304
2025-09-15 12:05,52.0173,67.6631
2025-09-15 12:00,39.1009,54.6864
2025-09-15 11:55,28.9409,33.7024
2025-09-15 11:50,23.3946,28.9140
2025-09-15 11:45,17.7147,24.2063
2025-09-15 11:40,13.4725,17.0635
2025-09-15 11:35,15.7761,11.8744
2025-09-15 11:30,25.5815,11.4798
2025-09-15 11:25,43.5173,23.9743
2025-09-15 11:20,63.1062,41.2904
2025-09-15 11:15,80.1879,65.2871
2025-09-15 11:10,90.9483,82.7410
2025-09-15 11:05,94.2216,92.5357
2025-09-15 11:00,93.5130,97.5681
2025-09-15 10:55,87.7486,92.5611
2025-09-15 10:50,79.2411,90.4099
2025-09-15 10:45,62.0034,80.2747
2025-09-15 10:40,42.3246,67.0386
2025-09-15 10:35,26.7525,38.6968
2025-09-15 10:30,26.3760,21.2383
2025-09-15 10:25,38.9079,20.3223
2025-09-15 10:20,55.7318,37.5675
2025-09-15 10:15,68.7197,58.8339
2025-09-15 10:10,69.8461,70.7939
2025-09-15 10:05,61.4135,76.5314
2025-09-15 10:00,44.1947,62.2129
2025-09-15 09:55,31.1303,45.4962
2025-09-15 09:50,26.0878,24.8749
2025-09-15 09:45,28.5877,23.0200
2025-09-15 09:40,33.9342,30.3684
2025-09-15 09:35,33.9317,32.3748
2025-09-15 09:30,38.4182,39.0594
2025-09-15 09:25,35.6754,30.3608
2025-09-15 09:20,33.9042,45.8342
2025-09-15 09:15,26.2649,30.8313
2025-09-15 09:10,26.8238,25.0471
2025-09-15 09:05,34.4558,22.9162
2025-09-15 09:00,42.4323,32.5081
2025-09-15 08:55,45.3772,47.9432
2025-09-15 08:50,41.6899,46.8455
2025-09-15 08:45,39.7533,41.3429
2025-09-15 08:40,44.2722,36.8813
2025-09-15 08:35,52.4604,41.0358
2025-09-15 08:30,57.4577,54.8994
2025-09-15 08:25,56.7700,61.4460
2025-09-15 08:20,53.6163,56.0277
2025-09-15 08:15,50.0626,52.8362
2025-09-15 08:10,46.3433,51.9851
2025-09-15 08:05,39.2704,45.3664
2025-09-15 08:00,32.1815,41.6785
2025-09-15 07:55,23.2663,30.7663
2025-09-15 07:50,16.8169,24.0996
2025-09-15 07:45,12.7457,14.9330
2025-09-15 07:40,11.5956,11.4181
2025-09-15 07:35,12.2420,11.8860
2025-09-15 07:30,12.7710,11.4827
2025-09-15 07:25,14.4476,13.3574
2025-09-15 07:20,13.9387,13.4730
2025-09-15 07:15,18.1088,16.5123
2025-09-15 07:10,28.2478,11.8307
2025-09-15 07:05,47.8589,25.9834
2025-09-15 07:00,66.2181,46.9293
2025-09-15 06:55,77.2346,70.6641
2025-09-15 06:50,80.3042,81.0609
2025-09-15 06:45,78.0659,79.9789
2025-09-15 06:40,77.1759,79.8728
2025-09-15 06:35,78.2228,74.3460
2025-09-15 06:30,79.1012,77.3090
2025-09-15 06:25,74.8210,83.0136
2025-09-15 06:20,64.7572,76.9810
2025-09-15 06:15,59.2909,64.4685
2025-09-15 06:10,59.8452,52.8222
2025-09-15 06:05,68.5094,60.5820
2025-09-15 06:00,77.1056,66.1315
2025-09-15 05:55,85.7407,78.8148
2025-09-15 05:50,87.4321,86.3704
2025-09-15 05:45,85.1374,92.0370
2025-09-15 05:40,80.9434,83.8889
2025-09-15 05:35,79.1890,79.4864
2025-09-15 05:30,74.4437,79.4549
2025-09-15 05:25,60.7194,78.6257
2025-09-15 05:20,42.6443,65.2505
2025-09-15 05:15,28.9916,38.2819
2025-09-15 05:10,33.4419,24.4006
2025-09-15 05:05,51.1264,24.2922
2025-09-15 05:00,74.5508,51.6327
2025-09-15 04:55,89.1076,77.4543
2025-09-15 04:50,92.8350,94.5653
2025-09-15 04:45,87.4135,95.3032
2025-09-15 04:40,81.4192,88.6366
2025-09-15 04:35,78.2820,78.3007
2025-09-15 04:30,80.5945,77.3203
2025-09-15 04:25,83.6019,79.2250
2025-09-15 04:20,85.1898,85.2381
2025-09-15 04:15,86.4664,86.3427
2025-09-15 04:10,88.6406,83.9885
2025-09-15 04:05,93.0457,89.0680
2025-09-15 04:00,95.4860,92.8654
2025-09-12 19:55,88.8827,97.2037
2025-09-12 19:50,74.3444,96.3889
2025-09-12 19:45,52.2691,73.0556
2025-09-12 19:40,37.7247,53.5889
2025-09-12 19:35,30.2463,30.1630
2025-09-12 19:30,36.0990,29.4222
2025-09-12 19:25,45.9497,31.1538
2025-09-12 19:20,62.0608,47.7208
2025-09-12 19:15,67.5214,58.9744
